INF,Jose Abreu,13,Kyle Manzardo,3,Ryan Noda,9,Vaughn Grissom,16,Isiah Kiner-Falefa,5,DJ LeMahieu,8,Justin Foscue,3,Gio Urshela,3,Jeremy Pena,13,Anthony Rendon,7,Bo Bichette,24,Ryan Mountcastle,11,,
OF,Mike Trout,29,Juan Soto,47,Randy Arozarena,32,Josh Lowe,24,Chas McCormick,23,Julio Rodriguez,42,George Springer,23,Kyle Tucker,41,Esteury Ruiz,26,Tyler O'Neill,17,Aaron Judge,40,Yordan Alvarez,39,,
OF,Mark Canha,15,Wyatt Langford,26,Luis Robert,28,Cedric Mullins,22,Kyle Isbel,3,Riley Greene,20,Taylor Ward,19,Ceddanne Rafaela,12,Steven Kwan,20,Masataka Yoshida,18,MJ Melendez,13,Evan Carter,25,,
OF,Andrew Benintendi,7,Alex Kirilloff,7,Jose Siri,12,Kerry Carpenter,13,JJ Bleday,1,Mickey Moniak,2,Willi Castro,10,Seth Brown,4,Daulton Varsho,18,Jarren Duran,21,Alex Verdugo,5,Adolis Garcia,30,,
OF,Hunter Renfroe,7,Kevin Kiermaier,4,Brent Rooker,9,Austin Hays,7,Zach McKinstry,3,Matt Vierling,1,Wilyer Abreu,13,Ramon Laureano,2,Anthony Santander,16,Nelson Velazquez,7,Laurence Butler,1,Parker Meadows,9,,
UT,Manuel Margot,1,Jasson Dominguez,1,Byron Buxton,12,Myles Straw,1,Aaron Hicks,2,Colton Cowser,6,J.D. Martinez,5,Max Kepler,12,Brandon Drury,13,Junior Caminero,7,Eloy Jimenez,15,Matt Wallner,7,,
SW,Akil Baddoo,1,Lance McCullers,1,Giancarlo Stanton,6,Heston Kjerstad,1,Dominic Canzone,3,Trent Grisham,2,Cavan Biggio,3,Nolan Schanuel,13,Mitch Haniger,3,Carlos Santana,8,Jake Meyers,1,Harold Ramirez,1,,
SW,Gabriel Arias,1,Mike Clevinger,1,Leody Taveras,12,Jorge Mateo,1,Amed Rosario,23,Brayan Rocchio,2,Drew Waters,2,Coby Mayo,4,Brandon Belt,1,Luke Raley,4,Jackson Jobe,4,Nicky Lopez,1,,
P,Jhoan Duran,24,Gerrit Cole,12,Kevin Gausman,23,Emmanuel Clase,23,Bryan Woo,11,Pablo Lopez,26,Luis Castillo,29,Tarik Skubal,25,Framber Valdez,26,Grayson Rodriguez,23,Logan Gilbert,22,Kutter Crawford,11,,
P,Pete Fairbanks,17,George Kirby,28,Alex Lange,10,Chris Bassitt,19,Tanner Bibee,19,Hunter Brown,14,Jordan Romano,20,Dean Kremer,5,John Brebbia,5,Nestor Cortes,11,Josh Hader,23,Bryan Abreu,4,,
P,Jason Adam,6,Corbin Burnes,30,Bryce Miller,10,Jose Berrios,12,Blake Snell,10,Cole Ragans,16,Jose Leclerc,9,Andres Munoz,22,Kenley Jansen,15,Aaron Civale,13,Seth Lugo,4,Michael Wacha,8,,
P,Will Smith,6,Jordan Montgomery,5,Shane Bieber,10,Marcus Stroman,9,Craig Kimbrel,17,Clay Holmes,19,Nick Pivetta,14,Mason Miller,12,Yusei Kikuchi,6,Cristian Javier,8,Griffin Canning,4,Bailey Ober,15,,
P,James McArthur,5,Ryan Pressly,5,Carlos Rodon,8,Joe Ryan,16,Zach Eflin,20,Reese Olson,4,Robert Stephenson,3,Triston McKenzie,4,Matt Brash,3,Erick Fedde,5,Chase Silseth,3,Gavin Williams,6,,
P,Prelander Berroa,2,David Robertson,3,Max Scherzer,1,Justin Verlander,3,Ryan Pepiot,9,Dane Dunning,2,Kenta Maeda,8,Brayan Bello,6,Reid Detmers,5,JP Sears,4,Taj Bradley,3,Carlos Estevez,10,,
P,Jacob deGrom,2,Tyler Alexander,2,Michael Kopech,3,Jon Gray,5,Nathan Eovaldi,7,Griffin Jax,1,Brock Stewart,3,Shane Baz,4,Clarke Schmidt,2,Erik Swanson,7,Ian Hamilton,1,Kyle Bradish,2,,
P,John Schreiber,1,Garrett Whitlock,5,Garrett Crochet,3,Patrick Sandoval,1,Zack LIttell,4,Chris Martin,1,Chris Paddack,2,Louie Varland,4,Andrew Heaney,3,Yennier Cano,5,John Means,1,Tyler Wells,1,,
P,Justin Topa,1,Logan Allen,1,Jack Flaherty,6,Jason Foley,1,Tanner Houck,4,Mike Soroka,3,Brady Singer,2,Matt Manning,5,Chad Green,1,Colin Poche,1,Jordan Leasure,3,Bowden Francis,1,,
R,Darell Hernaiz,,Mauricio Dubon,,Casey Mize,,Anthony DeSclafani,,Jonathan Aranda,,Dominic Fletcher,,Richie Palacios,,Paul DeJong,,Will Brennan,,Curtis Mead,,Ricky Tiedemann,,C.J. Cron,,,
R,Dairon Blanco,,Scott Barlow,,Steven Wilson,,Tommy Pham,,Tim Mayza,,Adam Frazier,,Miguel Andujar,,Josh Sborz,,Spencer Horowitz,,Justyn-Henry Malloy,,Joe Boyle,,Chase DeLauter,,,
R,Kyle Farmer,,Phil Maton,,Drew Thorpe,,Taylor Walls,,Caleb Thielbar,,Paul Blackburn,,Estevan Florial,,Shelby Miller,,Aroldis Martinez,,J.P. France,,Jose Miranda,,Sawyer Gipson-Long,,,
R,Gabe Speier,,Bobby Dalbec,,Miguel Sano,,Jeffrey Springs,,Yimi Garcia,,Chris Flexen,,Cole Irvin,,Tyler Freeman,,Daniel Coloumbe,,Zach Dezenzo,,Jonathan Loaisiga,,Tyler Anderson,,,
,Doug Dennis,,Andy Andres,,Mike Podhorzer,,Larry Schechter,,Patrick Davitt,,Howard Bender,,Jason Collette,,Eric Samulski,,Rob Leibowitz,,Chris Blessing,,Wolf and Colton,,Jeff Erickson,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196,,169,,186,,171,,159,,174,,170,,173,,194,,183,,196,,202,,2173
,,64,,91,,74,,89,,101,,86,,90,,87,,66,,77,,64,,58,,947
,,0.2461538462,,0.35,,0.2846153846,,0.3423076923,,0.3884615385,,0.3307692308,,0.3461538462,,0.3346153846,,0.2538461538,,0.2961538462,,0.2461538462,,0.2230769231,,0.696474359
