UT,Brandon Crawford,4,Starlin Castro,5,Brad Miller,1,Luis Guillorme,1,Darin Ruf,1,Travis Shaw,1,Isan Diaz,1,Jared Oliva,2,Avisail Garcia,11,CJ Abrams,1,Brendan Rodgers,3,Matt Carpenter,1,,
SW,Keston Hiura,20,Jonathan India,2,Shogo Akiyama,2,Daniel Vogelbach,1,Sandy Alcantara,11,Madison Bumgarner,4,Yu Darvish,27,Gregory Polanco,5,Tyler O'Neill,7,Jack Flaherty,26,Anthony Alford,2,Ender Inciarte,2,,
P,Trevor Bauer,27,Patrick Corbin,13,Clayton Kershaw,27,Sonny Gray,14,Johnny Cueto,1,Stephen Strasburg,19,Anthony DeSclafani,2,JT Brubaker,1,Carlos Carrasco,7,Jon Gray,1,Ian Anderson,13,Jake Arrieta,1,,
P,Luis Castillo,25,Seth Lugo,2,Dinelson Lamet,14,Joe Musgrove,17,Joey Lucchesi,1,Marcus Stroman,10,Pablo Lopez,13,Zach Eflin,10,Jacob deGrom,40,Michael Lorenzen,1,Walker Buehler,26,Corbin Burnes,17,,
P,Adrian Houser,2,Carlos Martinez,2,Josh Lindblom,8,Max Scherzer,27,Trevor Rogers,6,Noah Syndergaard,6,Tyler Mahle,9,Zac Gallen,20,Kevin Gausman,13,German Marquez,6,MacKenzie Gore,2,Zach Davies,5,,
P,Mitch Keller,2,Alec Mills,1,Charlie Morton,14,Taijuan Walker,6,Drew Smyly,14,Archie Bradley,5,Luke Weaver,5,Merrill Kelly,2,Kyle Hendricks,18,Brandon Woodruff,24,Dustin May,9,Max Fried,16,,
P,Miles Mikolas,1,Sixto Sanchez,10,Caleb Smith,4,John Gant,2,Blake Snell,21,John Curtiss,1,Daniel Bard,4,Aaron Nola,26,Elieser Hernandez,7,Kyle Wright,1,David Peterson,2,Zack Wheeler,15,,
P,Adam Wainwright,2,Julio Urias,15,Dellin Betances,1,Yimi Garcia,1,Adbert Alzolay,2,Tony Gonsolin,6,Spencer Howard,2,Chris Paddack,17,Kwang Hyun Kim,4,Josh Hader,22,David Price,7,Giovanny Gallegos,3,,
P,Stefan Crichton,1,Jose Alvarado,3,Brad Hand,12,Brusdar Graterol,1,Anthony Bass,8,Trevor May,3,Mark Melancon,4,Chris Martin,5,Mike Soroka,10,Tanner Rainey,1,Logan Webb,1,Amir Garrett,7,,
P,Kenley Jansen,13,Tejay Antone,4,Drew Pomeranz,6,Craig Kimbrel,10,Reyes Moronta,1,Hector Neris,4,Adrian Morejon,1,Will Smith,11,Daniel Ponce de Leon,2,Lucas Sims,2,Victor Gonzalez,1,Scott Oberg,1,,
P,Jake McGee,3,Edwin Diaz,18,Brent Suter,1,Joakim Soria,6,Alex Reyes,5,Emilio Pagan,7,Freddy Peralta,8,Bryse Wilson,1,Richard Rodriguez,8,Devin Williams,7,Jordan Hicks,7,Brandon Workman,1,,
R,Jake Marisnick,R,Kyle Freeland,R,Corey Knebel,R,JJ Bleday,R,Luis Garcia (WAS),R,Matt Moore,R,Cole Tucker,R,Brian Goodwin,R,Alex Wood,R,Josh Harrison,R,Dee Strange-Gordon,R,Chase Anderson,R,,
R,Kyle Crick,R,A.J. Minter,R,Andrew Chafin,R,Austin Gomber,R,JB Bukauskas,R,Jorge Mateo,R,Aaron Sanchez,R,Austin Dean,R,Vincent Velasquez,R,David Bednar,R,Blake Treinen,R,Dom Nunez,R,,
R,Tyler Rogers,R,Adam Haseley,R,Tyler Matzek,R,Dustin Fowler,R,Jon Lester,R,Lewin Diaz,R,Yonathan Daza,R,Brett Anderson,R,Keone Kela,R,Trevor Williams,R,Steven Brault,R,Cameron Maybin,R,,
R,Jordan Yamamoto,R,Kiebert Ruiz,R,Scott Heineman,R,Genesis Cabrera,R,Shane Greene,R,Sean Doolittle,R,Drew Waters,R,Edward Cabrera,R,Jedd Gyorko,R,Chad Kuhl,R,Brailyn Marquez,R,Josh Van Meter,R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HIT,,184,,192,,173,,176,,190,,195,,185,,167,,151,,169,,191,,194,,2167
PITCH,,76,,68,,87,,84,,70,,65,,75,,93,,109,,91,,68,,66,,952
SPLIT,,0.71,,0.74,,0.67,,0.68,,0.73,,0.75,,0.71,,0.64,,0.58,,0.65,,0.74,,0.75,,0.69
