UT,Ezequiel Tovar,15,Starling Marte,2,Ahmed Rosario,1,Lamont Wade,5,Oliver Dunn,3,Jose Siri,5,Max Kepler,6,Heliot Ramos,12,Shohei Ohtani,45,Kyle Schwarber,28,Jesse Winker ,6,Caleb Durbin,2,,
SW,Kyle Stowers,3,Wilmer Flores,1,Jorge Lopez,1,Nolan Gorman,6,Jordan Lawlar,2,Michael Busch,12,Kris Bryant,2,Johan Rojas,1,Nassim Nunez,1,Marcell Ozuna,25,Gavin Sheets,1,Jose Tena,1,,
SW,Bobby Miller,1,Derrick Hill,1,Tony Gonsolin,1,Andrew McCutcheon,4,Andre Palante,1,Sal Frelick,5,Noelvi Marte,2,Jared Kelenic,3,Matt Mervis,1,Brett Baty,4,Taylor Rogers,1,Jason Heyward,1,,
P,Spencer Strider,15,Nick Lodolo,10,Zack Wheeler,29,Shohei Ohtani,12,Chris Sale,26,Yoshinobu Yamamoto,23,Corbin Burnes,23,Freddy Peralta,16,Roki Sasaki,18,Shota Imanaga,23,Dylan Cease,25,Blake Snell,26,,
P,Zach Gallen,15,Justin Verlander,5,Hunter Greene ,16,Paul Skenes,32,Justin Steele,18,Sonny Gray,19,Spencer Schwellenbach,20,Cristopher Sanchez,15,Robbie Ray,14,Michael King,19,Aaron Nola,17,Kodai Senga,12,,
P,Grant Holmes,8,Ryan Weathers,5,Andrew Painter,4,Brandon Woodruff,13,Jesus Luzardo,7,Sean Manaea,7,Sandy Alcantara,15,Jared Jones,13,Ranger Suarez,10,Tyler Glasnow,22,Logan Webb,22,Merrill Kelly,11,,
P,Brady Singer,4,Tony Santallan,1,DJ Herz,4,Clay Holmes,10,David Peterson,6,Hayden Birdsong,2,Jason Adam,4,Nick Pivetta,13,MacKenzie Gore,10,Reynaldo Lopez,12,Nestor Cortes,9,Dustin May,8,,
P,Max Meyer,3,Adrian Morejan,1,Seth Halvorsen,1,Jameson Taillon,4,Eric Fedde,5,Kyle Harrison,3,Eury Perez,4,Brandon Pfaadt,11,Jake Irvin,2,Yu Darvish,10,Bubba Chandler,4,Nick Martinez ,7,,
P,Michael Siroka,3,Brendan Sproat,1,Eduardo Rodriguez,6,Matt Strahm,3,Clayton Kershaw,1,Edward Cabrera,2,Mitchell Parker,1,Matthew Boyd,5,Landon Roupp,2,Tobias Myers,4,Ben Brown,2,Mitch Keller,5,,
P,Anthony Bender,1,Frankie Montas,1,Quinn Matthews,3,Tyler Megill,2,Orion Kerkering,4,Joel Payamps,2,Rhett Lowder,2,Scott Barlow,1,Jose Quintana,3,Kevin Ginkel,2,Andrew Heaney,2,Aaron Ashby,1,,
P,David Bednar,9,Jordan Romano,11,Kyle Hart,2,Camilo Doval,3,Calvin Faucher,4,Kirby Yates,7,Kyle Finnegan,8,Jeremiah Estrada,2,Dennis Santana,1,Aaron Civale,4,Jesus Tinoco,2,Alexis Diaz,7,,
P,AJ Puk,9,Ryan Walker,19,Justin Martinez,10,Edwin Diaz,22,Raisel Iglesias,18,Tanner Scott,16,Robert Suarez,13,Ryan Pressly,11,Ryan Helsley,19,Blake Treinen,3,Porter Hodge,3,Trevor Megill,13,,
R,Luisangel Acuna,,Trevor Williams,,Sam Hilliard,,Jordan Hicks,,Adrian del Castillo,,Deveson De Los Santos,,Jordan Montgomery,,Griffin Canning,,Andrew Abbott,,Colin Holderman,,Zack Veen,,Chase Dolinger,,,
R,Augstin Ramirez,,Paul Blackburn,,Griffin Conine,,Steven Matz,,Jose Trevino,,Will Benson,,Tyler Black,,JD Martinez,,Dane Meyers,,Jose Alvarado,,Kyle Farmer,,Bryan de la Cruz,,,
R,Keaton Winn,,Alec Thomas,,Gage Workman,,Connor Joe,,Dalton Rushing,,Michael McGreavy,,Ryne Nelson,,Jose Iglesias,,Steven Kolek,,Stuart Fairchild,,Colin Rea,,AJ Smith-Shawver,,,
R,Dedniel Nunez,,Evan Phillips,,Enrique Hernandez,,Lance Lynn,,Javier Assad,,AJ Minter,,Edmundo Sosa,,Craig Yoho,,Alex Call,,Jared Triolo,,Ian Anderson,,Jack Suinski,,,
,Rick Graham,,Phil Hertz,,Peter Kreutzer,,Derek Carty,,Scott Wilderman,,Brian Walton,,Steve Gardner,,Tristan Cockcroft,,Grey Albright,,Scott Chu,,Erik Halterman,,Tim Heaney,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,193,,206,,185,,159,,171,,179,,170,,173,,181,,161,,174,,170,,2122
,,67,,54,,75,,101,,89,,81,,90,,87,,79,,99,,86,,90,,998
,,0.2576923077,,0.2076923077,,0.2884615385,,0.3884615385,,0.3423076923,,0.3115384615,,0.3461538462,,0.3346153846,,0.3038461538,,0.3807692308,,0.3307692308,,0.3461538462,,0.6801282051
