P,Grayson Rodriguez,2,Marco Gonzales,8,Casey Mize,6,Chris Flexen,6,Chris Sale,10,Jorge Alcala,5,Joe Barlow,8,Jose Urquidy,7,Chad Green,7,Luis Severino,7,Jameson Taillon,8,Lou Trivino,8,,
P,Corey Kluber,4,Gregory Soto,9,Joe Ryan,9,Shane Baz,15,Logan Gilbert,12,Craig Kimbrel,12,Patrick Sandoval,10,Cal Quantrill,7,Paul Sewald,8,Noah Syndergaard,9,Hyun Jin Ryu,9,Tanner Houck,11,,
P,Jonathan Loaisiga,4,Tarik Skubal,13,Shane McClanahan,20,Framber Valdez,18,Jordan Montgomery,14,Michael Kopech,12,Luis Garcia,19,Aaron Civale,9,Diego Castillo,8,Taylor Rogers,13,John Means,10,Raisel Iglesias,22,,
P,Andrew Kittredge,11,Nathan Eovaldi,18,Jordan Romano,23,Kevin Gausman,22,Emmanuel Clase,23,Sean Manaea,18,Ryan Pressly,21,Robbie Ray,22,Matt Barnes,12,Justin Verlander,20,Eduardo Rodriguez,18,Lance Lynn,22,,
P,Gerrit Cole,37,Shohei Ohtani (P),19,Frankie Montas,24,Jose Berrios,23,Dylan Cease,23,Lucas Giolito,25,Alek Manoah,21,Liam Hendriks,23,Scott Barlow,14,Aroldis Chapman,23,Sonny Gray,18,Shane Bieber,29,,
R,Drew Smyly,R,Ryan Yarbrough,R,Kyle Isbel,R,Chad Pinder,R,Triston Casas,R,Tanner Scott,R,Leury Garcia,R,Jake Meyers,R,DJ Stewart,R,Michael Lorenzen,R,Anthony Volpe,R,Jake Odorizzi,R,,
R,AJ Puk,R,Greg Holland,R,Christian Arroyo,R,Yimi Garcia,R,Luis Gil,R,Brett Phillips,R,Kris Bubic,R,Jose Siri,R,Matt Wisler,R,Daulton Jefferies,R,Niko Goodrum,R,Elvis Andrus,R,,
R,Glenn Otto,R,Travis Shaw,R,Jackson Kowar,R,Jason Castro,R,Nick Gordon,R,Leody Taveras,R,Reynaldo Lopez,R,Caleb Thielbar,R,Robinson Chirinos,R,Nolan Jones,R,Matt Carpenter,R,Kyle Stowers,R,,
R,Miguel Andujar,R,Matt Duffy,R,Emerson Hancock,R,Griffin Canning,R,Jahmai Jones,R,Jose Suarez,R,Edward Olivares KC,R,Richard Rodriguez,R,Jonathan Hernandez,R,Stephen Piscotty,R,Tim Locastro,R,Spencer Howard,R,,
,,260,0,260,0,260,0,255,0,260,0,260,0,260,0,260,0,260,0,260,0,252,0,260,,
HIT,,196,,176,,171,,164,,166,,170,,161,,184,,199,,155,,180,,155,,2077
PITCH,,64,,84,,89,,91,,94,,90,,99,,76,,61,,105,,72,,105,,1030
SPLIT,,0.75,,0.68,,0.66,,0.64,,0.64,,0.65,,0.62,,0.71,,0.77,,0.6,,0.71,,0.6,,0.67
