OF,Riley Greene,23,Matt Vierling,5,Chas McCormick,6,Wyatt Langford,27,Evan Carter,13,Jake Meyers,5,Mitch Haniger,1,Heston Kjerstad,7,Taylor Ward,18,Parker Meadows,11,Miguel Andujar,5,Mickey Moniak,2,,,,
UT,George Springer,16,Christopher Morel,11,Jacob Wilson,9,Colton Cowser,24,Daulton Varsho,13,Christian Moore,5,Brent Rooker,27,Joc Pederson,16,Tyler O'Neill,15,Chandler Simpson,7,Jackson Holliday,9,Leody Taveras,5,,,,
SW,MJ Melendez,7,Ty France,5,Brandon Drury,1,Giancarlo Stanton,2,Wilyer Abreu,10,Michael Massey,5,Edouard Julien,1,Kyle Manzardo,12,Gio Urshela,2,Ben Rice,2,Carlos Santana,10,Will Brennan,2,,,,
SW,Spencer Torkelson,7,Luis Severino,4,Mike Clevinger,6,Brooks Lee,2,Masataka Yoshida,4,Andrew Benintendi,2,J.D. Martinez,1,Dairon Blanco,1,Josh Smith,1,Alan Roden,5,David Hamilton,5,Hunter Renfroe,5,,,,
P,Shane McClanahan,17,Tanner Bibee,18,Jackson Jobe,4,Framber Valdez,23,Jhoan Duran,22,Jose Berrios,12,Tarik Skubal,34,Emmanuel Clase,23,Max Fried,20,Garrett Crochet,27,Bailey Ober,17,Luis Castillo,19,,,,
P,Yusei Kikuchi,12,Carlos Rodon,13,Hunter Brown,20,Joe Ryan,17,Felix Bautista,20,Pablo Lopez,19,Jacob deGrom,22,Seth Lugo,14,Bryan Woo,17,Josh Hader,21,Spencer Arrighetti,12,Cole Ragans,22,,,,
P,Jack Flaherty,13,Nathan Eovaldi,13,Zach Eflin,12,Taj Bradley,11,Edwin Uceta,5,Pete Fairbanks,11,Logan Gilbert,28,Bryce Miller,18,Devin Williams,24,George Kirby,14,Shane Baz,11,Mason Miller,22,,,,
P,Carlos Estevez,11,Max Scherzer,8,Aroldis Chapman,5,Andres Munoz,21,Griffin Jax,8,Ryan Pepiot,11,Cade Smith,7,Kevin Gausman,15,Drew Rasmussen,8,Bowden Francis,7,Ronel Blanco,9,Tanner Houck,8,,,,
P,Zebby Matthews,3,Kenley Jansen,13,Gavin Williams,10,Lucas Erceg,5,Cole Sands,1,Grayson Rodriguez,6,Clarke Schmidt,5,Chris Bassett,6,Jeffrey Springs,7,Chris Martin,9,Reese Olson,9,Liam Hendriks,4,,,,
P,Lucas Giolito,2,Tomoyuki Sugano,5,Jose Soriano,5,Luis L. Ortiz,3,Chad Green,1,Jose Leclerc,2,Kris Bubic,1,Bryan Abreu,4,Cody Bradford,2,Kumar Rocker,4,Jeff Hoffman,18,Michael Wacha,7,,,,
P,Triston McKenzie,2,Casey Mize,6,Beau Brieske,1,JP Sears,1,Justin Slaten,5,Jason Foley,5,Hoby Milner,1,Brayan Bello,4,Garrett Whitlock,1,Louis Varland,1,Walker Buehler,5,Luke Weaver,4,,,,
P,Richard Fitts,1,Ben Joyce,8,Yimi Garcia,1,Hunter Gaddis,1,Robert Garcia,3,Fernando Cruz,1,Chris Paddack,1,Dean Kremer,1,Kevin Kelly,1,Charlie Morton,2,Tyler Holton,3,David Festa,3,,,,
P,Reid Detmers,1,Jack Leiter,3,Yennier Cano,1,Shane Bieber,1,Matt Brash,6,Tim Herrin,1,Keegan Akin,1,Seranthony Dominguez,1,Tommy Kahnle,1,Mitch Spence,2,Luis Garcia,2,Zack Littell,5,,,,
R,Marc Church,,Hayden Wesneski,,Will Warren,,Tyler Mahle,,Jose Miranda,,Noah Schultz,,Chase Meidroth,,Marcus Stroman,,Yariel Rodriguez,,Curtis Mead,,Zach Dezenzo,,Coby Mayo,,,,,
R,Kenta Maeda,,Simeon Woods-Richardson,,Justin Anderson,,Davis Schneider,,Ezequiel Duran,,Tyler Anderson,,Lance McCullers,,Alex Verdugo,,Brendan Rodgers,,Shay Whitcomb,,Tyler Freeman,,Marcello Mayer,,,,,
R,Alex Cobb,,Javier Baez,,Nick Kurtz,,Brooks Baldwin,,Jake Cousins,,David Robertson,,Lenyn Sosa,,Vaughn Grissom,,Kutter Crawford,,Oswaldo Bido,,Cade Povich,,Dane Dunning,,,,,
R,Joe Boyle,,Gabriel Arias,,Eloy Jimenez,,Samuel Bassallo,,Robert Stephenson,,Edgar Quero,,Jac Cagnilanone,,Christian Vazquez,,Ramon Urias,,Colby Thomas,,Juan Brito,,Jace Jung,,,,,
,Mike Podhorzer,,Ian Kahn,,Rick Wolf/Glenn Colton,,Chris Blessing,,Patrick Davitt,,Rob Leibowitz,,Andy Andres,,Larry Schechter,,Doug Dennis,,Jason Collette,,Jeff Erickson,,Raphael Rabe,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,198,,173,,201,,174,,189,,192,,160,,170,,179,,173,,174,,149,,,,1386
,,62,,87,,59,,83,,71,,68,,100,,86,,81,,87,,86,,94,,,,673
,,0.2384615385,,0.3346153846,,0.2269230769,,0.3192307692,,0.2730769231,,0.2615384615,,0.3846153846,,0.3307692308,,0.3115384615,,0.3346153846,,0.3307692308,,0.3615384615,,,,0.6731423021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
